WGS84 UTM 10N
158.88962280435953 -407.7818295918405 529.2085
-161.90362575126346 373.2683846531436 641.8746
-235.92972784629092 -158.42874126136303 526.6025
75.16252750298008 -280.48074524849653 530.529
155.5050498509081 -322.6224259035662 529.3096
78.8457133815391 -365.59704703092575 530.8532
145.33555260126013 59.32149422354996 529.862
126.89047027612105 58.93227002955973 529.9261
82.74522832222283 -152.76275556720793 524.8172
-188.2223078351235 -72.18741392716765 526.3564
-14.104364918544888 -282.1256814254448 530.2295
-139.36337769799866 52.81725191138685 645.7263
-45.08989206328988 107.75639327149838 645.6023
-102.24440331291407 321.31369808129966 643.8874
-59.00340990663972 139.34553440660238 530.0663
-36.337807086412795 55.61686102580279 530.7355
-35.54175422852859 97.18551688548177 530.1947
155.95177510520443 58.611255483701825 645.6694
134.4667374524288 272.58385863527656 645.4767
-176.12112356023863 -29.978264005854726 528.1507
26.593328424030915 -195.49098813999444 527.9184
137.88390022842214 -322.9442908540368 529.3585
8.282243998371996 -195.87559075187892 527.8362
37.755071857827716 -239.2033942276612 528.5349
243.12142691295594 -235.24143761210144 527.4596
-175.83811577607412 212.69570520613343 645.3077
-232.51562402152922 318.560597977601 644.6449
13.796494340873323 140.69891315884888 529.9315
-213.24987714516465 51.38177146669477 645.7571
211.70901166810654 -407.1235411418602 529.6737
85.22626947925892 -409.3067093519494 528.9782
141.4397025051294 142.97845670953393 529.8143
44.83353897242341 323.3374230712652 644.2554
135.99101581494324 -66.25904779881239 525.5093
-101.89192852680571 214.04675502702594 645.3887
118.83512336469721 324.7720290031284 644.1277
188.98955716914497 -363.5640702005476 530.5917
-233.59238942235243 372.58351361192763 641.7537
-12.906193803763017 14.152244788594544 528.349
165.74818883184344 39.524920287542045 529.5574
-102.19375813589431 53.546374909579754 645.7642
-253.9254709125962 73.42487949784845 531.5944
-49.64158537436742 -27.420277488417923 527.6734
-229.68291163258255 104.83636710606515 645.5279
-139.0349091363605 213.49331599846482 645.4188
-72.05545010243077 96.49886253848672 530.2904
137.62931094120722 58.29262045864016 645.7303
39.66990285995416 -281.20226828567684 530.4987
100.78624027513433 57.57113587576896 645.7914
-155.89645734336227 105.86090104468167 645.4707
156.09287326445337 111.16591893415898 645.6582
39.82029313046951 -110.27939128223807 526.4892
-9.571676539257169 215.60491530876607 645.3657
21.828539777896367 -281.5401963451877 530.4515
-16.538558942149393 -111.28303914237767 526.7488
-10.178741674404591 -196.22597173880786 527.6653
8.365378059213981 55.74628309812397 645.7577
218.62808538938407 -277.8553476696834 530.145
-26.572773265070282 108.07445965986699 645.5912
19.076792019768618 98.14162593148649 529.92
-143.49560984410346 373.62224942445755 641.8031
-34.18331683857832 -260.9680507555604 529.6702
112.66090069653 -237.77235242910683 528.048
-194.00521530455444 11.247759033925831 528.5394
-4.581420604372397 140.39224752224982 530.0719
-8.548564492841251 -345.6087185544893 530.7658
208.84659276460297 -321.5366212455556 529.1952
173.22116450488102 -322.30951374489814 529.2226
114.85422820190433 -108.91231967508793 526.0323
102.44518271414563 -323.5569280060008 529.5458
-123.68060521804728 267.43432342913 645.2381
-139.80328377417754 12.107441265136003 528.5743
152.93459561932832 272.9644676381722 645.476
-28.51322505727876 55.09069958049804 645.7463
55.372411992866546 98.73549057450145 529.8641
-44.195659329066984 -69.57895229104906 525.5361
-179.32459758082405 266.246978180483 645.0684
-84.00106639543083 53.896120318211615 645.7936
146.94965428533033 -279.19968006853014 530.444
-7.770314271678217 -68.8991151098162 525.4381
57.65210590837523 -280.8285062909126 530.5422
131.04002575203776 -237.40841063670814 527.9455
0.8085370369954035 -239.93582646921277 528.8841
-246.2077411345672 -31.43225179053843 528.4705
-257.7731987583684 135.44445212744176 530.2651
-150.52272782102227 137.60497584193945 530.1587
109.99530918011442 99.64130956400186 529.6228
-81.78687008691486 107.05931181274354 645.5299
37.15545221453067 98.42386011779308 529.9149
47.03615438879933 -409.7826794628054 528.8108
-66.36838312307373 321.38316394761205 644.3995
-248.3267306224443 10.50960048288107 528.6398
246.28974603209645 -191.5628556990996 527.8217
22.57756635325495 -26.006571205332875 527.2036
-194.64367640716955 51.73593815881759 645.7649
-10.847709910478443 322.3762509068474 644.273
-106.57374299573712 374.332647270523 642.2406
-139.91444266936742 -29.27097909897566 527.9072
90.93069692165591 58.18076917063445 530.1219
-176.18386555812322 11.459818028844893 528.5833
-211.41476300777867 104.82998498436064 645.5141
133.37533855135553 379.1420568730682 643.8481
-29.101143124047667 321.9729714943096 644.3578
167.02413053065538 -23.09276827611029 526.2325
-176.15474947961047 52.11862832121551 645.7149
99.95454399241135 324.429763934575 644.1677
4.101262154523283 376.6134261386469 642.908
225.38204008236062 -362.88517715688795 530.5096
93.78826422337443 -238.13628681655973 528.0211
150.07913374493364 16.747267299331725 528.8376
82.92530586209614 217.266163575463 645.328
-199.37795284762979 94.31288441736251 531.0683
191.32208146469202 -192.5379064232111 527.7817
170.43527142866515 -363.96017805021256 530.6948
-47.3590757799102 321.73421576153487 644.4116
-229.43831518793013 51.020423378795385 645.5789
-121.69573101995047 12.356030801311135 528.5655
59.03270432644058 -25.337058732286096 527.0192
23.822181615047157 -366.4735905062407 530.7622
-18.149904761696234 -240.29327245987952 529.1248
50.23277494718786 141.3478926429525 529.861
-46.76679221610539 215.00897281058133 645.4093
59.45900899230037 15.260701470077038 528.3792
-224.44594439433422 -72.87023479025811 526.4874
59.895197897800244 377.71471983753145 643.4983
296.796008596546 -234.58660985063761 527.8086
190.9202995862579 -321.99732135795057 529.2438
-18.247404229361564 55.9452710878104 530.6769
27.59481220121961 216.3233992010355 645.3311
-9.991796285612509 55.40657645184547 645.7783
-199.2698140667053 52.389801749028265 531.6512
41.006824694923125 -357.4093301743269 528.7916
64.0955426695291 -153.12770696450025 524.8685
77.34058734972496 -109.596210709773 526.2218
-63.7493073932128 107.41595689859241 645.5542
133.96906247769948 -364.5181137053296 530.8949
-214.67058507271577 158.64844732824713 645.4754
200.70944095938466 -278.2098883194849 530.2466
5.277680083876476 269.9840153865516 645.4245
-72.84296579903457 -112.32182703819126 527.0808
-67.77599769586232 -27.82931140065193 527.7388
-125.11214833369013 373.9019126612693 641.7255
209.62443219916895 -192.22069970797747 527.8052
152.55561865190975 -108.23944308329374 525.7699
113.90094564144965 16.28693764191121 528.5359
236.21855512924958 -277.532433883287 530.0449
